Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
2018-08-22,140.7271728515625,143.6502902291862,140.64546031656397,143.35071453933818,1229200
2018-08-23,140.61825561523438,141.38081836588626,139.88293961633144,140.70904118257687,840400
2018-08-24,141.80746459960938,142.07979355744402,140.27328016146419,141.08122172421199,708000
2018-08-27,143.47779846191406,143.65028268506484,142.4156740820128,142.49737276079074,674200
2018-08-28,143.75018310546875,144.4310333307515,143.05117299563716,143.886347609752,1078100
2018-08-29,144.79412841796875,144.93937977093935,143.2417840184498,143.9226341520766,685700
2018-08-30,143.3325958251953,144.65799042288836,142.76067717559664,144.40380743460761,805700
2018-08-31,143.6049041748047,144.39468585195294,142.94221396124271,143.5685844126768,1057800
2018-09-04,141.78024291992188,143.42337308365188,140.81797682695355,143.31442762932477,1577700
2018-09-05,141.7439727783203,142.48837585438304,141.1992869250092,141.49886275913664,1736100
2018-09-06,142.22508239746094,143.15104265400018,141.00863322534008,142.09799089965628,897600
2018-09-07,140.7362518310547,141.9527006702922,140.31867153194,141.92546777478168,1225600
2018-09-10,141.49880981445312,142.04349546395892,141.01767682656,141.43527100477195,645300
2018-09-11,142.5972442626953,142.92405285940157,140.30958408575162,141.22647107058523,1247500
2018-09-12,142.16156005859375,143.15105925280358,142.00722178799592,142.4883687839765,799700
2018-09-13,144.51272583007812,144.63981731259815,142.78789702224057,143.49599396991803,867900
2018-09-14,142.51553344726562,145.31155923624763,142.3793551299351,144.9575039223459,1675500
2018-09-17,143.45057678222656,144.41284267930783,142.4973838995201,142.66986813615358,1529500
2018-09-18,143.5867462158203,144.46731345814504,143.35072316655223,143.95894759699485,1104600
2018-09-19,149.21511840820312,151.27582879552713,147.74448647772516,147.74448647772516,2689100
2018-09-20,150.8854522705078,151.31210554985142,148.8156554145824,150.1228897017229,1624200
2018-09-21,151.1487274169922,152.46503488537255,150.46787729349222,151.57539460254,2323000
2018-09-24,148.8792266845703,151.8295772133804,148.8066010093217,150.68575399506003,1609000
2018-09-25,148.02587890625,149.61452904708452,147.86248154069054,148.64319016397783,1273900
2018-09-26,147.59019470214844,149.1243796361199,146.9728832103788,147.70821318997244,1309300
2018-09-27,147.3632049560547,148.68858546244243,147.00916343975314,147.9714294147301,1314300
2018-09-28,145.91075134277344,147.19075320430022,145.34791953923735,145.88351843950133,1302400
2018-10-01,153.3002166748047,153.50902069601176,150.05029026830465,150.3135600856764,2329700
2018-10-02,153.4454803466797,153.65427053271048,150.1773937952137,150.9308696904665,1652300
2018-10-03,152.12008666992188,154.09908446359034,151.76603129288736,154.09908446359034,950500
2018-10-04,150.54049682617188,151.60262131326064,148.31638928387844,151.439223939215,1720100
2018-10-05,149.0971221923828,150.45882260524527,148.56150950252123,149.01540964014205,1538700
2018-10-08,149.1606903076172,149.70537612052556,147.85345543818562,148.4163011387071,1109000
2018-10-09,146.3192138671875,148.6431937651321,146.15581649766943,147.8806311515903,1510400
2018-10-10,143.4414825439453,146.70049528794874,143.37794374272656,146.34645381850243,2222200
2018-10-11,140.03726196289062,143.62308404178444,139.59244870440585,143.36888722730842,1977000
2018-10-12,141.83468627929688,143.2326922760416,141.0085849007102,142.36121197602478,1840700
2018-10-15,142.33399963378906,144.6035003310376,141.6077704922159,142.170602232515,2161500
2018-10-16,145.8562469482422,146.01057130993394,142.72433923312306,143.17823930348615,1297500
2018-10-17,145.05738830566406,147.29058289932664,144.42193093411188,146.79129001741714,1540700
2018-10-18,146.48265075683594,152.07470369241153,144.77598183251453,151.67526936102288,3739600
2018-10-19,145.11187744140625,148.02590852574423,144.60349765899295,146.57343641750433,3012000
2018-10-22,151.49366760253906,153.37280638923977,145.7200590800972,149.99578929958915,7591100
2018-10-23,149.03358459472656,150.640395122929,146.70054485443958,149.64180917841125,4959200
2018-10-24,146.3646240234375,148.87923448442885,145.95611669920197,146.8276109959121,5610900
2018-10-25,149.78709411621094,151.02170344603417,147.45404000134968,147.7536158518146,5105400
2018-10-26,149.73257446289062,151.7024993301548,148.3708740968795,148.6159840413026,35352000
2018-10-29,150.2318878173828,153.56351350416645,149.41485917540092,150.89457820717405,14032500
2018-10-30,149.33311462402344,152.2108392436043,147.73539145425454,150.7946733212294,57375600
2018-10-31,150.21372985839844,150.33174834031664,146.4372769563611,146.82763832243347,18032200
2018-11-01,147.0636444091797,150.22278548461344,147.0091786090411,149.47839646283134,11423500
2018-11-02,145.10275268554688,146.89111984312387,141.10843811593284,145.84715535504472,6835100
2018-11-05,147.05458068847656,147.2361379843924,142.93315942632492,143.11471672224076,4477400
2018-11-06,150.2681884765625,151.01259140084548,146.76407862630313,146.90933000449502,2510600
2018-11-07,151.4665069580078,151.4665069580078,149.0880604172465,149.36947633362698,7626300
2018-11-08,150.0594024658203,150.83102446162357,147.9079061906177,149.33315940652633,4010000
2018-11-09,146.62794494628906,148.8248205585982,145.74737732726416,147.96241282864898,3249100
2018-11-12,144.53994750976562,147.3359737600954,144.25853166688302,145.3024963456924,1990800
2018-11-13,142.46109008789062,145.54761932497388,142.0979755197316,145.44776074094023,2507100
2018-11-14,139.22024536132812,143.65031496517355,138.89343672084883,143.6049221827868,2338700
2018-11-15,140.87245178222656,141.8891975943945,138.49401929585056,141.6985534258836,2759400
2018-11-16,143.5050506591797,143.85001915188647,139.2565387161343,139.5652012973656,2726800
2018-11-19,144.79412841796875,146.5643359950122,143.83186244541855,143.9861868134755,2464700
2018-11-20,143.31446838378906,145.42057230854118,142.74256345665455,142.9695135941354,2151600
2018-11-21,144.3946990966797,146.37371075625612,143.9317259765625,144.55811033738286,2070900
