Banco de México,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2012-08-01 00:00:00,0.3,1.67,4.57,0.22,2.31,3.7,0.55,-0.41,7.58
2012-09-01 00:00:00,0.44,2.12,4.77,0.18,2.49,3.61,1.32,0.9,8.81
2012-10-01 00:00:00,0.51,2.63,4.6,0.23,2.72,3.58,1.42,2.34,8.07
2012-11-01 00:00:00,0.68,3.33,4.18,0.05,2.78,3.3,2.73,5.13,7.09
2012-12-01 00:00:00,0.23,3.57,3.57,0.12,2.9,2.9,0.58,5.74,5.74
2013-01-01 00:00:00,0.4,0.4,3.25,0.42,0.42,2.88,0.33,0.33,4.47
2013-02-01 00:00:00,0.49,0.9,3.55,0.51,0.94,2.96,0.44,0.78,5.47
2013-03-01 00:00:00,0.73,1.64,4.25,0.3,1.24,3.02,2.11,2.9,8.29
2013-04-01 00:00:00,0.07,1.7,4.65,0.08,1.32,2.95,0,2.9,10.32
2013-05-01 00:00:00,-0.33,1.37,4.63,0.2,1.52,2.88,-2.05,0.8,10.56
2013-06-01 00:00:00,-0.06,1.3,4.09,0.13,1.65,2.79,-0.69,0.1,8.39
2013-07-01 00:00:00,-0.03,1.27,3.47,0.03,1.69,2.5,-0.26,-0.15,6.6
2013-08-01 00:00:00,0.28,1.56,3.46,0.09,1.78,2.37,0.94,0.78,7.01
2013-09-01 00:00:00,0.38,1.94,3.39,0.32,2.11,2.52,0.55,1.34,6.2
2013-10-01 00:00:00,0.48,2.43,3.36,0.19,2.3,2.48,1.41,2.77,6.18
2013-11-01 00:00:00,0.93,3.38,3.62,0.14,2.44,2.56,3.54,6.4,7.02
2013-12-01 00:00:00,0.57,3.97,3.97,0.33,2.78,2.78,1.35,7.84,7.84
2014-01-01 00:00:00,0.89,0.89,4.48,0.85,0.85,3.21,1.02,1.02,8.58
2014-02-01 00:00:00,0.25,1.15,4.23,0.28,1.14,2.98,0.17,1.19,8.28
2014-03-01 00:00:00,0.27,1.43,3.76,0.21,1.35,2.89,0.46,1.65,6.54
2014-04-01 00:00:00,-0.19,1.24,3.5,0.29,1.65,3.11,-1.67,-0.05,4.75
2014-05-01 00:00:00,-0.32,0.91,3.51,0.09,1.74,3,-1.64,-1.69,5.19
2014-06-01 00:00:00,0.17,1.09,3.75,0.21,1.96,3.09,0.04,-1.64,5.96
2014-07-01 00:00:00,0.28,1.37,4.07,0.19,2.15,3.25,0.56,-1.09,6.83
2014-08-01 00:00:00,0.36,1.73,4.15,0.21,2.37,3.37,0.83,-0.27,6.72
2014-09-01 00:00:00,0.44,2.18,4.22,0.29,2.67,3.34,0.92,0.65,7.11
2014-10-01 00:00:00,0.55,2.74,4.3,0.17,2.84,3.32,1.79,2.45,7.51
2014-11-01 00:00:00,0.81,3.57,4.17,0.16,3.01,3.34,2.83,5.35,6.78
2014-12-01 00:00:00,0.49,4.08,4.08,0.23,3.24,3.24,1.28,6.7,6.7
2015-01-01 00:00:00,-0.09,-0.09,3.07,-0.03,-0.03,2.34,-0.27,-0.27,5.34
2015-02-01 00:00:00,0.19,0.1,3,0.34,0.31,2.4,-0.27,-0.53,4.88
2015-03-01 00:00:00,0.41,0.51,3.14,0.26,0.57,2.45,0.85,0.31,5.29
2015-04-01 00:00:00,-0.26,0.25,3.06,0.16,0.73,2.31,-1.51,-1.21,5.46
2015-05-01 00:00:00,-0.5,-0.26,2.88,0.12,0.84,2.33,-2.4,-3.58,4.64
2015-06-01 00:00:00,0.17,-0.09,2.87,0.21,1.05,2.33,0.04,-3.55,4.63
2015-07-01 00:00:00,0.15,0.06,2.74,0.17,1.23,2.31,0.07,-3.48,4.12
2015-08-01 00:00:00,0.21,0.27,2.59,0.2,1.43,2.3,0.24,-3.25,3.51
2015-09-01 00:00:00,0.37,0.65,2.52,0.37,1.81,2.38,0.39,-2.87,2.96
2015-10-01 00:00:00,0.51,1.16,2.48,0.25,2.06,2.47,1.35,-1.56,2.52
2015-11-01 00:00:00,0.55,1.72,2.21,0.04,2.1,2.34,2.15,0.56,1.84
2015-12-01 00:00:00,0.41,2.13,2.13,0.31,2.41,2.41,0.72,1.28,1.28
2016-01-01 00:00:00,0.38,0.38,2.61,0.19,0.19,2.64,0.96,0.96,2.52
2016-02-01 00:00:00,0.44,0.82,2.87,0.36,0.55,2.66,0.68,1.64,3.49
2016-03-01 00:00:00,0.15,0.97,2.6,0.36,0.91,2.76,-0.49,1.14,2.12
2016-04-01 00:00:00,-0.32,0.65,2.54,0.22,1.13,2.83,-1.96,-0.83,1.66
2016-05-01 00:00:00,-0.45,0.2,2.6,0.21,1.35,2.93,-2.51,-3.32,1.55
2016-06-01 00:00:00,0.11,0.31,2.54,0.25,1.61,2.97,-0.35,-3.66,1.16
2016-07-01 00:00:00,0.26,0.57,2.65,0.17,1.78,2.97,0.55,-3.13,1.65
2016-08-01 00:00:00,0.28,0.86,2.73,0.19,1.98,2.96,0.58,-2.57,1.99
2016-09-01 00:00:00,0.61,1.47,2.97,0.48,2.46,3.07,1.04,-1.55,2.65
2016-10-01 00:00:00,0.61,2.09,3.06,0.28,2.75,3.1,1.65,0.07,2.95
2016-11-01 00:00:00,0.78,2.89,3.31,0.22,2.98,3.29,2.54,2.61,3.34
2016-12-01 00:00:00,0.46,3.36,3.36,0.45,3.44,3.44,0.51,3.13,3.13
2017-01-01 00:00:00,1.7,1.7,4.72,0.58,0.58,3.84,5.14,5.14,7.4
2017-02-01 00:00:00,0.58,2.29,4.86,0.76,1.35,4.26,0.03,5.18,6.71
2017-03-01 00:00:00,0.61,2.92,5.35,0.57,1.93,4.48,0.73,5.95,8.02
2017-04-01 00:00:00,0.12,3.04,5.82,0.45,2.39,4.72,-0.84,5.05,9.25
2017-05-01 00:00:00,-0.12,2.92,6.16,0.28,2.67,4.78,-1.3,3.69,10.6
2017-06-01 00:00:00,0.25,3.18,6.31,0.3,2.98,4.83,0.09,3.78,11.09
2017-07-01 00:00:00,0.38,3.57,6.44,0.27,3.26,4.94,0.72,4.52,11.27
2017-08-01 00:00:00,0.49,4.08,6.66,0.25,3.52,5,1.22,5.8,11.98
2017-09-01 00:00:00,0.31,4.41,6.35,0.28,3.81,4.8,0.41,6.23,11.28
2017-10-01 00:00:00,0.63,5.06,6.37,0.25,4.07,4.77,1.76,8.1,11.4
2017-11-01 00:00:00,1.03,6.15,6.63,0.34,4.43,4.9,3.06,11.41,11.97
2017-12-01 00:00:00,0.59,6.77,6.77,0.42,4.87,4.87,1.09,12.62,12.62
2018-01-01 00:00:00,0.53,0.53,5.55,0.28,0.28,4.56,1.24,1.24,8.44
2018-02-01 00:00:00,0.38,0.91,5.34,0.49,0.77,4.27,0.08,1.32,8.49
2018-03-01 00:00:00,0.32,1.24,5.04,0.33,1.11,4.02,0.3,1.63,8.03
2018-04-01 00:00:00,-0.34,0.9,4.55,0.15,1.25,3.71,-1.72,-0.12,7.07
2018-05-01 00:00:00,-0.16,0.73,4.51,0.26,1.51,3.69,-1.38,-1.5,6.99
2018-06-01 00:00:00,0.39,1.12,4.65,0.23,1.75,3.62,0.84,-0.67,7.79
2018-07-01 00:00:00,0.54,1.66,4.81,0.29,2.04,3.63,1.27,0.59,8.38
2018-08-01 00:00:00,0.58,2.26,4.9,0.25,2.29,3.63,1.61,2.21,8.8
2018-09-01 00:00:00,0.42,2.69,5.02,0.32,2.62,3.67,0.73,2.96,9.15
2018-10-01 00:00:00,0.52,3.22,4.9,0.31,2.94,3.73,1.15,4.14,8.5
2018-11-01 00:00:00,0.85,4.1,4.72,0.25,3.2,3.63,2.66,6.91,8.07
2018-12-01 00:00:00,0.7,4.83,4.83,0.47,3.68,3.68,1.39,8.4,8.4
2019-01-01 00:00:00,0.09,0.09,4.37,0.2,0.2,3.6,-0.25,-0.25,6.81
2019-02-01 00:00:00,-0.03,0.06,3.94,0.43,0.63,3.54,-1.38,-1.62,5.25
2019-03-01 00:00:00,0.39,0.44,4,0.34,0.98,3.55,0.51,-1.12,5.47
2019-04-01 00:00:00,0.05,0.5,4.41,0.46,1.44,3.87,-1.15,-2.26,6.08
2019-05-01 00:00:00,-0.29,0.21,4.28,0.16,1.6,3.77,-1.66,-3.88,5.78
2019-06-01 00:00:00,0.06,0.27,3.95,0.3,1.91,3.85,-0.68,-4.53,4.19
2019-07-01 00:00:00,0.38,0.65,3.78,0.26,2.18,3.82,0.74,-3.82,3.64
2019-08-01 00:00:00,-0.02,0.63,3.16,0.2,2.39,3.78,-0.7,-4.5,1.28
2019-09-01 00:00:00,0.26,0.89,3,0.3,2.69,3.75,0.15,-4.35,0.71
2019-10-01 00:00:00,0.54,1.44,3.02,0.25,2.94,3.68,1.46,-2.95,1.01
2019-11-01 00:00:00,0.81,2.26,2.97,0.22,3.17,3.65,2.62,-0.41,0.98
2019-12-01 00:00:00,0.56,2.83,2.83,0.41,3.59,3.59,1,0.59,0.59
2020-01-01 00:00:00,0.48,0.48,3.24,0.33,0.33,3.73,0.96,0.96,1.81
2020-02-01 00:00:00,0.42,0.9,3.7,0.36,0.69,3.66,0.57,1.53,3.81
2020-03-01 00:00:00,-0.05,0.85,3.25,0.29,0.99,3.6,-1.06,0.45,2.19
2020-04-01 00:00:00,-1.01,-0.17,2.15,0.36,1.35,3.5,-5.17,-4.74,-1.96
2020-05-01 00:00:00,0.38,0.22,2.84,0.3,1.65,3.64,0.66,-4.1,0.35
2020-06-01 00:00:00,0.55,0.76,3.33,0.37,2.03,3.71,1.12,-3.03,2.16
2020-07-01 00:00:00,0.66,1.43,3.62,0.4,2.43,3.85,1.48,-1.6,2.92
2020-08-01 00:00:00,0.39,1.82,4.05,0.32,2.75,3.97,0.63,-0.97,4.3
2020-09-01 00:00:00,0.23,2.06,4.01,0.32,3.08,3.99,-0.04,-1.01,4.1
2020-10-01 00:00:00,0.61,2.68,4.09,0.24,3.33,3.98,1.77,0.74,4.42
2020-11-01 00:00:00,0.08,2.76,3.33,-0.08,3.24,3.66,0.56,1.31,2.33
2020-12-01 00:00:00,0.38,3.15,3.15,0.55,3.8,3.8,-0.13,1.18,1.18
2021-01-01 00:00:00,0.86,0.86,3.54,0.36,0.36,3.84,2.4,2.4,2.63
2021-02-01 00:00:00,0.63,1.5,3.76,0.39,0.75,3.87,1.36,3.79,3.43
2021-03-01 00:00:00,0.83,2.34,4.67,0.54,1.3,4.12,1.69,5.55,6.31
2021-04-01 00:00:00,0.33,2.67,6.08,0.37,1.67,4.13,0.21,5.76,12.34
2021-05-01 00:00:00,0.2,2.88,5.89,0.53,2.2,4.37,-0.75,4.97,10.76
2021-06-01 00:00:00,0.53,3.43,5.88,0.57,2.79,4.58,0.42,5.41,10
2021-07-01 00:00:00,0.59,4.04,5.81,0.48,3.28,4.66,0.93,6.39,9.39
2021-08-01 00:00:00,0.19,4.24,5.59,0.43,3.72,4.78,-0.52,5.84,8.14
2021-09-01 00:00:00,0.62,4.88,6,0.46,4.19,4.92,1.1,7,9.37
2021-10-01 00:00:00,0.84,5.76,6.24,0.49,4.71,5.19,1.87,9,9.47
2021-11-01 00:00:00,1.14,6.97,7.37,0.37,5.09,5.67,3.45,12.75,12.61
2021-12-01 00:00:00,0.36,7.36,7.36,0.8,5.94,5.94,-0.9,11.74,11.74
2022-01-01 00:00:00,0.59,0.59,7.07,0.62,0.62,6.21,0.52,0.52,9.68
2022-02-01 00:00:00,0.83,1.43,7.28,0.76,1.38,6.59,1.04,1.56,9.34
2022-03-01 00:00:00,0.99,2.43,7.45,0.72,2.1,6.78,1.79,3.39,9.45
2022-04-01 00:00:00,0.54,2.98,7.68,0.78,2.9,7.22,-0.14,3.24,9.07
2022-05-01 00:00:00,0.18,3.17,7.65,0.59,3.5,7.28,-1.02,2.18,8.77
2022-06-01 00:00:00,0.84,4.04,7.99,0.77,4.3,7.49,1.07,3.27,9.47
2022-07-01 00:00:00,0.74,4.81,8.15,0.62,4.95,7.65,1.09,4.4,9.65
2022-08-01 00:00:00,0.7,5.54,8.7,0.8,5.79,8.05,0.39,4.8,10.65
2022-09-01 00:00:00,0.62,6.19,8.7,0.67,6.5,8.28,0.47,5.3,9.96
2022-10-01 00:00:00,0.57,6.79,8.41,0.63,7.17,8.42,0.38,5.7,8.36
2022-11-01 00:00:00,0.58,7.41,7.8,0.45,7.65,8.51,0.94,6.7,5.73
2022-12-01 00:00:00,0.38,7.82,7.82,0.65,8.35,8.35,-0.4,6.27,6.27
2023-01-01 00:00:00,0.68,0.68,7.91,0.71,0.71,8.45,0.57,0.57,6.32
2023-02-01 00:00:00,0.56,1.24,7.62,0.61,1.33,8.29,0.4,0.97,5.65
2023-03-01 00:00:00,0.27,1.51,6.85,0.52,1.86,8.09,-0.5,0.47,3.27
2023-04-01 00:00:00,-0.02,1.49,6.25,0.39,2.26,7.67,-1.25,-0.79,2.12
2023-05-01 00:00:00,-0.22,1.27,5.84,0.32,2.59,7.39,-1.88,-2.66,1.24
2023-06-01 00:00:00,0.1,1.37,5.06,0.3,2.89,6.89,-0.52,-3.17,-0.36
2023-07-01 00:00:00,0.48,1.86,4.79,0.39,3.3,6.64,0.77,-2.42,-0.67
2023-08-01 00:00:00,0.55,2.42,4.64,0.27,3.58,6.08,1.44,-1.01,0.37
2023-09-01 00:00:00,0.44,2.88,4.45,0.36,3.95,5.76,0.7,-0.32,0.6
2023-10-01 00:00:00,0.38,3.27,4.26,0.39,4.35,5.5,0.34,0.02,0.56
2023-11-01 00:00:00,0.64,3.93,4.32,0.26,4.63,5.3,1.81,1.83,1.43
2023-12-01 00:00:00,0.71,4.66,4.66,0.44,5.09,5.09,1.53,3.39,3.39
2024-01-01 00:00:00,0.89,0.89,4.88,0.4,0.4,4.76,2.37,2.37,5.24
2024-02-01 00:00:00,0.09,0.99,4.4,0.49,0.9,4.64,-1.1,1.25,3.67
2024-03-01 00:00:00,0.29,1.28,4.42,0.44,1.34,4.55,-0.16,1.09,4.03
2024-04-01 00:00:00,0.2,1.48,4.65,0.21,1.55,4.37,0.18,1.27,5.54
2024-05-01 00:00:00,-0.19,1.29,4.69,0.17,1.73,4.21,-1.28,-0.02,6.19
2024-06-01 00:00:00,0.38,1.68,4.98,0.22,1.95,4.13,0.87,0.85,7.67
2024-07-01 00:00:00,1.05,2.74,5.57,0.32,2.27,4.05,3.29,4.16,10.36
2024-08-01 00:00:00,0.01,2.75,4.99,0.22,2.5,4,-0.7,3.43,8.03
2024-09-01 00:00:00,0.05,2.8,4.58,0.28,2.79,3.91,-0.72,2.69,6.5
2024-10-01 00:00:00,0.55,3.37,4.76,0.28,3.08,3.8,1.46,4.18,7.68
2024-11-01 00:00:00,0.44,3.82,4.55,0.05,3.13,3.58,1.73,5.98,7.6
2024-12-01 00:00:00,0.38,4.21,4.21,0.51,3.65,3.65,-0.04,5.95,5.95
2025-01-01 00:00:00,0.29,0.29,3.59,0.41,0.41,3.66,-0.14,-0.14,3.34
