,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,NOMBRE_ESTADO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,TOTAL_VOTOS,NOMBRE_ESTADO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,TOTAL_VOTOS
CLAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200020022,OAXACA,ACATLAN DE PEREZ FIGUEROA,155.0,46.0,16.0,8.0,8.0,1.0,2.0,138.0,8.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,2.0,1.0,0.0,413.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,149.0,29.0,11.0,3.0,13.0,0.0,1.0,162.0,8.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,413
200020023,OAXACA,ACATLAN DE PEREZ FIGUEROA,214.0,96.0,2.0,4.0,6.0,4.0,2.0,118.0,3.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,475.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,174.0,70.0,2.0,3.0,17.0,1.0,1.0,174.0,3.0,1.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,475
200020024,OAXACA,ACATLAN DE PEREZ FIGUEROA,288.0,204.0,10.0,25.0,14.0,11.0,6.0,166.0,4.0,3.0,6.0,3.0,0.0,3.0,12.0,0.0,1.0,5.0,2.0,1.0,1.0,818.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,218.0,160.0,8.0,17.0,35.0,6.0,5.0,258.0,14.0,4.0,6.0,4.0,0.0,0.0,12.0,0.0,0.0,8.0,1.0,1.0,4.0,816
200020025,OAXACA,ACATLAN DE PEREZ FIGUEROA,282.0,102.0,8.0,19.0,15.0,8.0,10.0,156.0,3.0,7.0,5.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,652.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,236.0,68.0,2.0,13.0,29.0,7.0,6.0,226.0,14.0,6.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,2.0,652
200020026,OAXACA,ACATLAN DE PEREZ FIGUEROA,333.0,119.0,5.0,13.0,15.0,5.0,2.0,128.0,6.0,6.0,4.0,2.0,0.0,1.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,678.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,283.0,96.0,5.0,11.0,24.0,4.0,2.0,191.0,6.0,7.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,10.0,2.0,0.0,1.0,679
200020027,OAXACA,ACATLAN DE PEREZ FIGUEROA,152.0,81.0,2.0,80.0,4.0,10.0,6.0,155.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,526.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,134.0,55.0,4.0,57.0,12.0,5.0,6.0,203.0,4.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,5.0,2.0,0.0,0.0,524
200020028,OAXACA,ACATLAN DE PEREZ FIGUEROA,160.0,152.0,8.0,17.0,11.0,16.0,8.0,177.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,597.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,136.0,93.0,11.0,12.0,29.0,4.0,4.0,252.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,597
200020029,OAXACA,ACATLAN DE PEREZ FIGUEROA,471.0,124.0,10.0,19.0,16.0,7.0,7.0,186.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,882.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,384.0,86.0,7.0,14.0,36.0,9.0,4.0,284.0,10.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,881
200020030,OAXACA,ACATLAN DE PEREZ FIGUEROA,279.0,122.0,14.0,57.0,6.0,5.0,11.0,92.0,9.0,4.0,6.0,0.0,1.0,2.0,14.0,1.0,1.0,4.0,1.0,1.0,1.0,660.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,252.0,112.0,7.0,41.0,19.0,7.0,10.0,122.0,14.0,4.0,4.0,0.0,1.0,3.0,9.0,1.0,1.0,8.0,5.0,0.0,1.0,659
200020031,OAXACA,ACATLAN DE PEREZ FIGUEROA,539.0,366.0,15.0,27.0,18.0,14.0,14.0,284.0,15.0,9.0,2.0,2.0,0.0,2.0,7.0,1.0,0.0,4.0,2.0,0.0,0.0,1412.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,445.0,310.0,15.0,13.0,49.0,12.0,7.0,417.0,16.0,6.0,2.0,3.0,0.0,3.0,10.0,0.0,0.0,7.0,3.0,2.0,0.0,1412
