h0303,h0305,h0306,h0307,h0308,h0312,h0317a,h0317g,h0318,h0327,h0324,h0317aint,h0317gint,h0317
32,1,1,2,2,1,4,3,1,2,Trabajador por su cuenta,15,3.0,18.0
13,3,1,1,2,1,3,3,1,2,Estudiante,12,3.0,15.0
11,3,1,1,2,1,2,6,1,2,Estudiante,6,6.0,12.0
4,3,1,1,2,1,1,1,1,2,Estudiante,3,1.0,4.0
55,1,1,3,2,1,10,4,1,5,Empleado,18,4.0,22.0
58,2,2,2,2,1,4,3,1,5,Quehaceres del hogar,15,3.0,18.0
34,1,2,1,3,1,11,2,1,4,Trabajador sin pago,23,2.0,25.0
26,2,2,2,2,1,10,4,1,4,Empleado,18,4.0,22.0
58,6,2,2,2,1,10,4,1,4,Empleado,18,4.0,22.0
2,3,2,1,1,1,1, ,1,4,Estudiante,3,,0.0
34,1,2,1,3,1,11,2,1,4,Trabajador sin pago,23,2.0,25.0
26,2,2,2,2,1,10,4,1,4,Empleado,18,4.0,22.0
58,6,2,2,2,1,10,4,1,4,Empleado,18,4.0,22.0
2,3,2,1,1,1,1, ,1,4,Estudiante,3,,0.0
62,1,1,2,2,1,10,4,1,3,Jubilado o pensionado,18,4.0,22.0
67,2,1,3,3,1,4,2,1,3,Jubilado o pensionado,15,2.0,17.0
38,3,1,1,1,1,10,4,1,3,Empleado,18,4.0,22.0
62,1,1,2,2,1,10,4,1,3,Jubilado o pensionado,18,4.0,22.0
67,2,1,3,3,1,4,2,1,3,Jubilado o pensionado,15,2.0,17.0
38,3,1,1,1,1,10,4,1,3,Empleado,18,4.0,22.0
62,1,1,3,3,1,8,3,1,4,Empleado,18,3.0,21.0
56,2,1,3,3,1,8,3,1,4,Quehaceres del hogar,18,3.0,21.0
62,1,2,2,2,1,10,4,1,3,Jubilado o pensionado,18,4.0,22.0
30,3,1,1,2,1,10,6,1,3,Empleado,18,6.0,24.0
69,1,1,3,3,1,3,3,1,2,Jubilado o pensionado,12,3.0,15.0
69,1,1,3,3,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
69,1,1,3,3,1,4,3,1,3,Jubilado o pensionado,15,3.0,18.0
50,1,1,2,3,1,6,3,1,3,Empleado,12,3.0,15.0
60,1,2,3,3,1,3,3,1,4,Trabajador por su cuenta,12,3.0,15.0
45,1,1,3,3,1,0, ,1,1,Empleado,0,,0.0
28,9,2,2,2,1,4,3,1,1,Empleado,15,3.0,18.0
56,1,1,3,3,1,3,3,1,3,Trabajador por su cuenta,12,3.0,15.0
54,2,1,3,3,1,10,5,1,3,Quehaceres del hogar,18,5.0,23.0
29,5,2,2,3,1,10,5,1,3,Empleado,18,5.0,23.0
